genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Female,12.4286,Left,DT,OFF sustained alpha,DJID_2289,233.333333333333,114.111,12,70,224,314,30,115,114,121.333333333333,240.695652173913,NaN
WT,Female,12.4286,Left,DN,OFF sustained alpha,DJID_2289,300,77.0833,38,22.5,439,858,42,42,86,82,676.5,NaN
WT,Female,12.4286,Left,DN,OFF sustained alpha,DJID_2289,233.333333333333,97.1111,9.33333333333333,97,314,30,30,439,89.3333333333333,131.666666666667,494,NaN
WT,Female,12.4286,Left,DN,OFF sustained alpha,DJID_2289,166.666666666667,54.5,11,45,439,59,30,1200,66.3333333333333,76.6666666666667,528.673913043478,NaN
WT,Female,12.4286,Right,DT,OFF sustained alpha,DJID_2289,266.666666666667,109.528,15.8333333333333,112.166666666667,160,30,30,858,102.166666666667,130.833333333333,195.625,NaN
WT,Female,12.4286,Right,DT,OFF sustained alpha,DJID_2289,333.333333333333,94.1111,7.66666666666667,85,614,115,30,614,87.3333333333333,110.666666666667,1045.25,NaN
WT,Female,12.5714,Right,DT,OFF sustained alpha,DJID_2290,200,73.4444,6,47.6666666666667,858,858,42,160,62,99.6666666666667,911.560975609756,NaN
WT,Female,12.5714,Right,DT,OFF sustained alpha,DJID_2290,133.333333333333,32.2778,1,0,439,314,42,42,13,78.6666666666667,519.625,NaN
WT,Female,12.5714,Right,DN,OFF sustained alpha,DJID_2290,233.333333333333,78.0556,8,82.3333333333333,314,30,30,314,62.3333333333333,108.666666666667,404,NaN
WT,Female,12.5714,Right,DT,OFF sustained alpha,DJID_2290,200,52.5,3.66666666666667,73.3333333333333,115,614,30,82,39.6666666666667,135.666666666667,140.928571428571,NaN
WT,Female,12.5714,Right,DN,OFF sustained alpha,DJID_2290,233.333333333333,72.1667,4.66666666666667,74.3333333333333,314,614,30,115,60.6666666666667,105.333333333333,524,NaN
WT,Female,12.5714,Right,DN,OFF sustained alpha,DJID_2290,233.333333333333,86.0556,5.33333333333333,82.6666666666667,224,160,30,439,58.6666666666667,110.666666666667,249.6,NaN
WT,Male,13.8571,Left,DN,OFF sustained alpha,DJID_2296,233.333333333333,62.2222,5.33333333333333,61.3333333333333,614,42,30,314,58.3333333333333,91.3333333333333,2014,NaN
WT,Male,13.8571,Left,DN,OFF sustained alpha,DJID_2296,233.333333333333,61.3889,18,52.6666666666667,439,59,30,224,67,93.6666666666667,680.071428571428,NaN
WT,Male,13.8571,Left,VT,OFF sustained alpha,DJID_2296,266.666666666667,87.8889,18.3333333333333,87.6666666666667,314,42,30,439,86.6666666666667,108.666666666667,371.558139534884,NaN
WT,Male,13.8571,Left,DN,OFF sustained alpha,DJID_2296,250,79.1667,6,81.6666666666667,614,30,30,224,75.3333333333333,109.666666666667,1139,NaN
WT,Male,13.8571,Left,VT,OFF sustained alpha,DJID_2296,250,65.1667,14.6666666666667,52,439,439,59,314,77.6666666666667,81,537.214285714286,NaN
WT,Male,13.8571,Left,DN,OFF sustained alpha,DJID_2296,233.333333333333,76.5556,5.33333333333333,72.6666666666667,858,30,42,614,74,96.3333333333333,1341.55555555556,NaN
WT,Male,13.8571,Left,DN,OFF sustained alpha,DJID_2296,233.333333333333,69.3889,5.33333333333333,65.6666666666667,439,115,42,314,70.6666666666667,103.666666666667,725.666666666667,NaN
WT,Male,13.8571,Left,DN,OFF sustained alpha,DJID_2296,233.333333333333,81.5,6,77.3333333333333,314,59,30,224,82.3333333333333,111.333333333333,395,NaN
WT,Male,13.8571,Left,DN,OFF sustained alpha,DJID_2296,266.666666666667,73.3333,6.66666666666667,67.6666666666667,1200,42,30,314,74.3333333333333,109.333333333333,10060,NaN
WT,Male,14.1429,Right,VT,OFF sustained alpha,DJID_2295,300,79.1111,12.6666666666667,85.6666666666667,314,42,30,314,74.6666666666667,118.666666666667,504,NaN
WT,Male,14.1429,Right,DN,OFF sustained alpha,DJID_2295,233.333333333333,60.2222,5.66666666666667,54.6666666666667,314,82,30,224,64,73.3333333333333,337.181818181818,NaN
WT,Male,14.1429,Right,DN,OFF sustained alpha,DJID_2295,250,56.8333,11,36,439,30,42,1200,56,91,519.882352941176,NaN
WT,Male,14.1429,Right,DN,OFF sustained alpha,DJID_2295,233.333333333333,60.7778,14.6666666666667,46.3333333333333,439,1200,30,30,63.3333333333333,66.3333333333333,714,NaN
WT,Male,14.1429,Right,VT,OFF sustained alpha,DJID_2295,300,83.2222,26,81,314,30,30,439,76,112,533.375,NaN
WT,Male,14.1429,Right,VN,OFF sustained alpha,DJID_2295,233.333333333333,81.9444,38.3333333333333,78.3333333333333,314,30,30,1200,81.3333333333333,105.333333333333,637.4375,NaN
