genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,HD1,DJID_2009,200,0.166667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,4,12.5,22,25,11.5,3,0,0,0,0]","[0,0,1.4142135623730951,4.9497474683058327,2.8284271247461903,null,2.1213203435596424,2.8284271247461903,0,0,null,0]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,null,0,0,0,0,null,0]",0,0,30,30,160,30,25,0,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,DT,HD1,DJID_2004,120,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,1.8,7.6,13.6,16,13.8,14.6,4.6,0.4,0,0,1]","[0,1.2449899597988734,2.7064737205448717,2.6598872156540772,4.1833001326703778,4.6016301459374152,2.6598872156540772,1.6431676725154984,0.44721359549995804,0,0,0.70710678118654757]","[0,0,0,0,5.4,8.4,7.4,4.6,1,0,0,0]","[0,0,0,0,2.16794833886788,1.036822067666386,0.27386127875258309,0.90829510622924747,1.1180339887498949,0,0,0]",0,0,30,30,115,160,16,8.4,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,39.1429,Right,DN,HD1,DJID_1862,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[8.3333333333333339,14.333333333333334,35,49,53,46.666666666666664,16.666666666666668,0.66666666666666663,0,0,0,0]","[2.6770630673681683,0.816496580927726,9.1923881554251174,9.3541434669348522,5.3385391260156556,5.01663898109747,1.4719601443879746,0.816496580927726,0,0,0,0]","[0,0,5,14,27.333333333333332,19,2.3333333333333335,0,0,0,0,0]","[0,0,3.9370039370059051,4.415880433163923,2.2730302828309759,1.2247448713915889,0.408248290463863,0,0,0,0,0]",0,0,439,30,115,115,53,27.3333333333333,439,NaN
Trarg1(Tusc5-eGFP/WT),Female,78,Left,DN,HD1,DJID_2086,216.666666666667,0.0833333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.6666666666666667,5.166666666666667,15.833333333333334,24.166666666666668,35,38.666666666666664,23.5,5.333333333333333,0.33333333333333331,0,0,0.33333333333333331]","[0.83266639978645307,1.4259499757471623,1.3686976778431872,1.5853495934125486,4.3543082114154474,1.6411378166788229,1.2884098726725124,1.8475208614068026,0.23094010767585033,0,0,0.36514837167011072]","[0,0,0,0,4.5,7.166666666666667,12.166666666666666,6.166666666666667,4.166666666666667,4.5,4.166666666666667,3.1666666666666665]","[0,0,0,0,1.51657508881031,0.7164728420068226,1.1803954139750514,1.4809906594348705,0.95568474578876339,0.61644140029689753,0.95568474578876339,0.77028133388608944]",0,0,614,30,160,224,38.6666666666667,12.1666666666667,614,NaN
Trarg1(Tusc5-eGFP/WT),Male,19.7143,Right,DT,HD1,DJID_3106,275,2.8,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.75,3,5,19.8,31.5,37.75,34.4,22.8,11.75,11.5,12.25,10.4]","[0.86602540378443871,2.2110831935702668,3.3333333333333339,4.6824139073772626,4.6547466812563139,5.1720402163943007,4.0093640393458907,2.6315394733881536,0.28867513459481292,1.1055415967851334,0.98601329718326935,0.758287544405155]","[0,0.5,0,2.2,1.5,7.25,8.2,5,3.25,0,1.25,1.8]","[0,0.57735026918962584,0,1.51657508881031,1.7320508075688774,1.7240134054647667,1.2449899597988732,1.695582495781317,1.2801909579781015,0,1.4433756729740645,1.3416407864998738]",0.75,0,30,30,160,224,37.75,8.2,NaN,NaN
