genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,HD1,DJID_1582,400,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[35.333333333333336,52.333333333333336,60.333333333333336,61.333333333333336,61,56.333333333333336,34.666666666666664,13.333333333333334,0.66666666666666663,0.66666666666666663,0,0]","[1.0801234497346432,3.1885210782848317,2.1602468994692865,2.857738033247041,2.4494897427831779,2.9439202887759492,3.488074922742725,5.1153364177409353,0.816496580927726,0.816496580927726,0,0]","[0.66666666666666663,3.6666666666666665,11.666666666666666,15,9.6666666666666661,2,0,0,0,0,0,0]","[0.816496580927726,2.1602468994692869,1.7795130420052183,2.82842712474619,1.4719601443879744,1.4142135623730949,0,0,0,0,0,0]",0,0,858,224,82,82,61.3333333333333,15,858,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,HD1,DJID_1589,400,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[13.666666666666666,24.666666666666668,43.666666666666664,58.666666666666664,62.333333333333336,54.666666666666664,35.333333333333336,9.6666666666666661,1.3333333333333333,0,0,0]","[1.4719601443879746,5.3072277760302189,2.1602468994692869,1.4719601443879744,6.0964470527239607,1.0801234497346432,2.1602468994692865,1.4719601443879744,1.0801234497346435,0,0,0]","[0,0,0.66666666666666663,1.6666666666666667,4.333333333333333,4,0.66666666666666663,0,0,0,0,0]","[0,0,0.408248290463863,1.0801234497346435,2.6770630673681683,1.2247448713915889,0.816496580927726,0,0,0,0,0]",0,0,614,30,115,115,62.3333333333333,4.33333333333333,614,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,HD1,DJID_1589,400,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[27,39,57,69.333333333333329,56,50.666666666666664,57.666666666666664,22,6.333333333333333,0.66666666666666663,0,0]","[3.2403703492039297,1.4142135623730949,0.70710678118654746,1.4719601443879746,19.912307751739874,11.669047376142865,1.7795130420052183,6.9641941385920587,6.5319726474218083,0.408248290463863,0,0]","[0,0,4.666666666666667,10.333333333333334,12.666666666666666,11.666666666666666,8.3333333333333339,0.33333333333333331,0,0,0,0]","[0,0,0.408248290463863,0.816496580927726,0.816496580927726,1.6329931618554521,1.0801234497346435,0.408248290463863,0,0,0,0]",0,0,858,30,82,115,69.3333333333333,12.6666666666667,858,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,HD1,DJID_1744,233.333333333333,0.333333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[3.6666666666666665,6.666666666666667,15,29.666666666666668,36,36.666666666666664,31.666666666666668,20.333333333333332,5.333333333333333,3.3333333333333335,0.66666666666666663,0]","[0.81649658092772592,0.816496580927726,0.70710678118654746,4.7081489639418441,3.0822070014844885,0.816496580927726,0.81649658092772592,1.6329931618554521,1.4719601443879744,1.6329931618554521,0.408248290463863,0]","[0,0,0,2.6666666666666665,2,4,6,3.6666666666666665,0,0,0,0]","[0,0,0,2.1602468994692865,1.2247448713915889,2.1213203435596424,0.70710678118654746,1.4719601443879746,0,0,0,0]",0,0,1200,30,160,224,36.6666666666667,6,1200,NaN
