genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,HD2,DJID_2009,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,2.25,7.25,10.333333333333334,8.25,5.25,5,4.25,1.6666666666666667,3]","[0,0,0,1.6583123951777,2.8037673068767872,0.40824829046386296,0.28867513459481292,2.0749832663314556,1.2247448713915889,1.7240134054647667,1.4719601443879744,1.2472191289246473]","[0,0,0,2,5.75,12,10.5,8,9,5.75,6.333333333333333,5.5]","[0,0,0,1.4142135623730949,1.5898986690282428,1.8708286933869707,2.1343747458109497,3.431876713662334,1.4142135623730949,2.6822461565718467,1.0801234497346432,2.1343747458109497]",0,0,30,30,160,160,10.3333333333333,12,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,HD2,DJID_2009,166.666666666667,0.166667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0.66666666666666663,3.3333333333333335,5,2.3333333333333335,2.3333333333333335,3.3333333333333335,2.6666666666666665,1.6666666666666667]","[0,0,0,0,0.816496580927726,2.0412414523193152,0.70710678118654746,0.408248290463863,1.0801234497346432,1.4719601443879746,0.81649658092772592,0.40824829046386296]","[0.33333333333333331,0,0,0.33333333333333331,5.333333333333333,6,5.333333333333333,4.333333333333333,3.3333333333333335,4.666666666666667,6,6]","[0.408248290463863,0,0,0.408248290463863,4.8131763593978834,0.70710678118654746,1.4719601443879744,0.408248290463863,2.1602468994692865,1.0801234497346432,1.4142135623730949,1.2247448713915889]",0,0,30,42,224,160,5,6,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,VN,HD2,DJID_2004,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,10.333333333333334,23.333333333333332,20.666666666666668,13.666666666666666,5.333333333333333,5,0.33333333333333331,0.33333333333333331,2.3333333333333335]","[0,0,0,1.0801234497346435,2.857738033247041,1.0801234497346432,1.4719601443879744,1.0801234497346432,0.70710678118654746,0.408248290463863,0.408248290463863,1.0801234497346432]","[0,0,0,3.3333333333333335,9.3333333333333339,8.3333333333333339,10.666666666666666,8,11.333333333333334,10.333333333333334,17.666666666666668,15.333333333333334]","[0,0,0,4.0824829046386295,0.816496580927726,1.0801234497346435,2.6770630673681683,5.0990195135927845,0.816496580927726,6.5701344481423414,1.4719601443879746,0.40824829046386296]",0,0,30,30,115,858,23.3333333333333,17.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,39.7143,Right,DT,HD2,DJID_2249,133.333333333333,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,2.6666666666666665,14,18.333333333333332,5.333333333333333,3,0.66666666666666663,1.3333333333333333,0.33333333333333331]","[0,0,0,0,1.7795130420052188,2.5495097567963922,2.1602468994692869,2.2730302828309759,1.2247448713915889,0.816496580927726,0.40824829046386296,0.408248290463863]","[0,0,0,0,0.33333333333333331,0,0,0,0.33333333333333331,0,0,1.3333333333333333]","[0,0,0,0,0.408248290463863,0,0,0,0.408248290463863,0,0,1.0801234497346432]",0,0,30,30,224,1200,18.3333333333333,1.33333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,34.7143,Left,VT,HD2,DJID_2259,166.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1,2,5.333333333333333,3.3333333333333335,4.333333333333333,5,3.6666666666666665,3,2.3333333333333335,2.3333333333333335]","[0,0,1.2247448713915889,0.70710678118654746,0.408248290463863,0.408248290463863,0.816496580927726,0.70710678118654746,0.408248290463863,0.70710678118654746,1.0801234497346432,1.4719601443879746]","[0,0,3,13.333333333333334,12,4,0.66666666666666663,10.333333333333334,0,0,0,0]","[0,0,2.1213203435596424,0.816496580927726,7.3484692283495336,4.8989794855663558,0.816496580927726,7.0828431202919253,0,0,0,0]",0,0,30,30,115,82,5.33333333333333,13.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,67.8571,Right,VN,HD2,DJID_2782,250,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[5.166666666666667,8.8333333333333339,10,9.6666666666666661,9.3333333333333339,7.5,5.166666666666667,3.1666666666666665,2.3333333333333335,1.8333333333333333,1.5,1]","[1.1105554165971787,0.65828058860438321,1.0583005244258361,0.46188021535170065,0.23094010767585033,0.61644140029689753,0.33665016461206926,0.59441848333756686,0.23094010767585027,0.43969686527576396,0.37416573867739411,0.39999999999999997]","[8,15.333333333333334,18.333333333333332,19,12.666666666666666,8.8333333333333339,3.1666666666666665,1.5,0.16666666666666666,0,0,0.16666666666666666]","[1.8761663039293719,2.76646585616619,4.1150131632029234,2.3151673805580448,0.67330032922413852,0.52281290471193742,0.18257418583505536,0.37416573867739411,0.18257418583505536,0,0,0.18257418583505536]",1,0,1200,614,59,82,10,19,1542,NaN
