genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,39.1429,Right,DT,HD1,DJID_1036,350,3.16667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[44,47.5,55.5,52,64.5,57.5,46,24.5,4.5,1,0.5,0.5]","[2.8284271247461903,6.3639610306789276,4.9497474683058327,16.970562748477139,4.9497474683058327,14.849242404917497,8.48528137423857,3.5355339059327378,0.70710678118654757,0,0.70710678118654757,0.70710678118654757]","[6.5,10.5,21.5,24.5,26.5,19,11.5,9,4,2,1,0.5]","[0.70710678118654757,3.5355339059327378,2.1213203435596424,3.5355339059327378,3.5355339059327378,2.8284271247461903,0.70710678118654757,5.6568542494923806,2.8284271247461903,0,1.4142135623730951,0.70710678118654757]",0.5,0.5,858,1200,115,115,64.5,26.5,980,NaN
WT,Female,8.2857,Left,DN,HD1,DJID_1385,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[17.5,28,45.5,61,58,46.5,18,6.5,1,0.5,0,1]","[2.1213203435596424,5.6568542494923806,0.70710678118654757,8.48528137423857,0,3.5355339059327378,1.4142135623730951,3.5355339059327378,0,0.70710678118654757,0,1.4142135623730951]","[0,0,4.5,13.5,10,3.5,0,0,0,0,0,0]","[0,0,6.3639610306789276,3.5355339059327378,1.4142135623730951,0.70710678118654757,0,0,0,0,0,0]",0,0,858,30,82,82,61,13.5,858,NaN
WT,Male,22.7143,Left,DT,HD1,DJID_872,300,3,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[16,30,37.5,47,49,49,18.5,8,1.5,3,7.5,5.5]","[0,4.2426406871192848,13.435028842544403,5.6568542494923806,9.8994949366116654,4.2426406871192848,0.70710678118654757,0,0.70710678118654757,1.4142135623730951,6.3639610306789276,0.70710678118654757]","[0.5,9,17.5,19.5,21,20,7.5,5.5,1.5,0.5,3.5,9]","[0.70710678118654757,1.4142135623730951,3.5355339059327378,4.9497474683058327,1.4142135623730951,0,0.70710678118654757,0.70710678118654757,0.70710678118654757,0.70710678118654757,3.5355339059327378,8.48528137423857]",1.5,0.5,439,30,115,115,49,21,453.423076923077,NaN
WT,Male,23.7143,Right,VT,HD1,DJID_702,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.3333333333333333,8.3333333333333339,20.666666666666668,32,35.333333333333336,33.666666666666664,34.666666666666664,30.333333333333332,18.333333333333332,12.666666666666666,7,6.333333333333333]","[1.0801234497346432,2.1602468994692865,1.0801234497346432,4.3011626335213125,1.7795130420052183,4.708148963941845,0.408248290463863,1.6329931618554521,1.6329931618554521,4.5460605656619508,1.2247448713915889,0.408248290463863]","[0,0,2,15,18.666666666666668,17.333333333333332,13,5.666666666666667,0.33333333333333331,0,0,0]","[0,0,1.2247448713915889,2.4494897427831779,1.4719601443879746,2.1602468994692869,1.4142135623730949,0.816496580927726,0.408248290463863,0,0,0]",1.33333333333333,0,30,30,115,115,35.3333333333333,18.6666666666667,NaN,NaN
WT,Female,19.8571,Right,VT,HD1,DJID_780,366.666666666667,1.66667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[3,10.666666666666666,30.333333333333332,46.666666666666664,58.666666666666664,52.333333333333336,27,5,7.333333333333333,13.666666666666666,15.333333333333334,15]","[0,1.6329931618554521,2.48327740429189,0.408248290463863,2.6770630673681683,1.0801234497346432,2.1213203435596424,0.70710678118654746,2.0412414523193148,3.3416562759605695,0.40824829046386296,1.2247448713915889]","[1.3333333333333333,2.6666666666666665,0,7.333333333333333,12,6,5.666666666666667,12,7.666666666666667,5.666666666666667,4,4.333333333333333]","[1.6329931618554521,0.408248290463863,0,1.7795130420052183,0.70710678118654746,1.8708286933869707,0.816496580927726,1.2247448713915889,0.816496580927726,0.816496580927726,0.70710678118654746,0.408248290463863]",3,0,30,59,115,115,58.6666666666667,12,NaN,NaN
WT,Female,46.7143,Left,VT,HD1,DJID_1723,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,4.333333333333333,17.666666666666668,35.333333333333336,44.666666666666664,38,16.333333333333332,2.3333333333333335,0,0.66666666666666663,0,0]","[0.816496580927726,1.4719601443879744,4.966554808583779,0.816496580927726,4.3204937989385739,0.70710678118654746,1.0801234497346432,1.0801234497346432,0,0.816496580927726,0,0]","[0,0,0,0.66666666666666663,5.333333333333333,5.333333333333333,4.333333333333333,0.66666666666666663,0,0,0,0]","[0,0,0,0.816496580927726,2.9439202887759492,1.4719601443879744,1.0801234497346432,0.816496580927726,0,0,0,0]",0,0,439,30,115,115,44.6666666666667,5.33333333333333,439,NaN
WT,Female,27.1429,Right,VT,HD1,DJID_2061,133.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,1.3333333333333333,10.333333333333334,14.666666666666666,6.666666666666667,1,0,0,0,0]","[0,0,0,0.816496580927726,2.4832774042918895,1.0801234497346435,0.408248290463863,0.70710678118654746,0,0,0,0]","[0,0,2,0,0,2.6666666666666665,3.6666666666666665,3,1,1,0.66666666666666663,0]","[0,0,1.8708286933869707,0,0,2.6770630673681683,0.408248290463863,1.8708286933869707,0.70710678118654746,0.70710678118654746,0.816496580927726,0]",0,0,30,30,160,224,14.6666666666667,3.66666666666667,NaN,NaN
WT,Female,68.4286,Right,DN,HD1,DJID_1726,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[12,19.666666666666668,35,52.333333333333336,65,63,42,1,1.6666666666666667,0.66666666666666663,0,0]","[0.70710678118654746,1.4719601443879746,3.0822070014844885,2.9439202887759492,2.5495097567963922,6.1237243569579451,1.2247448713915889,1.2247448713915889,1.0801234497346435,0.816496580927726,0,0]","[0,0,5.333333333333333,8.6666666666666661,12.333333333333334,18.333333333333332,6,0,0,0,0,0]","[0,0,3.8944404818493075,5.2121652570372969,3.1885210782848317,8.7273516410573642,1.4142135623730949,0,0,0,0,0]",0,0,858,30,115,160,65,18.3333333333333,858,NaN
WT,Female,30.5714,Left,VT,HD1,DJID_2804,166.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,1.3333333333333333,14.666666666666666,32.666666666666664,38.666666666666664,31.333333333333332,8.6666666666666661,0.33333333333333331,1,0.66666666666666663,1.6666666666666667,0.33333333333333331]","[0,1.0801234497346432,1.4719601443879746,2.1602468994692869,5.8878405775518985,1.4719601443879746,3.8944404818493075,0.408248290463863,0.70710678118654746,0.408248290463863,0.816496580927726,0.408248290463863]","[0,0,0,0,5,2.6666666666666665,0.33333333333333331,0,0,0,0,0]","[0,0,0,0,3.2403703492039297,1.7795130420052188,0.408248290463863,0,0,0,0,0]",0,0,30,30,115,115,38.6666666666667,5,NaN,NaN
WT,Male,22.7143,Left,VN,HD1,DJID_3149,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,6.666666666666667,17.666666666666668,29.333333333333332,25,4.333333333333333,0,0,0,0,0]","[0,0,2.2730302828309754,5.1153364177409353,3.5590260840104375,1.4142135623730949,0.816496580927726,0,0,0,0,0]","[0,0,0,0,4,5.333333333333333,0,0,0,0,0,0]","[0,0,0,0,2.5495097567963922,1.4719601443879744,0,0,0,0,0,0]",0,0,30,30,115,160,29.3333333333333,5.33333333333333,NaN,NaN
