genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,37.4286,Right,DN,ON transient medium RF,DJID_2927,500,24.1667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[26,29.666666666666668,35.333333333333336,48,61.333333333333336,67,75,72.333333333333329,64.333333333333329,68,62.333333333333336,66.333333333333329]","[3.5355339059327373,5.01663898109747,1.0801234497346432,0,3.1885210782848317,12.062338081814817,18.343936327844141,19.574643462057402,21.228911104120876,14.19506956657839,11.187790964558939,12.089940722214756]","[17,19.333333333333332,18,17,15,14.333333333333334,12,13.333333333333334,12,15,17,17.666666666666668]","[1.2247448713915889,2.1602468994692869,1.2247448713915889,2.5495097567963922,0.70710678118654746,1.4719601443879746,0.70710678118654746,0.40824829046386296,1.4142135623730949,0.70710678118654746,1.2247448713915889,1.0801234497346432]",26,12,30,224,224,42,75,19.3333333333333,NaN,NaN
WT,Male,37.4286,Right,DN,ON transient medium RF,DJID_2927,533.333333333333,2.27778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[12.333333333333334,20,32,57.333333333333336,80.666666666666671,99.333333333333329,62,90.333333333333329,75.666666666666671,80.333333333333329,72.333333333333329,64.666666666666671]","[2.0412414523193148,3.6742346141747668,0.70710678118654746,0.816496580927726,2.2730302828309754,3.3416562759605695,38.288379438153292,5.7590508477236657,7.5608641481425041,1.0801234497346435,1.0801234497346435,1.4719601443879744]","[1,0,0,0.33333333333333331,1.3333333333333333,0,0,0,0.33333333333333331,0.66666666666666663,0.66666666666666663,0]","[0.70710678118654746,0,0,0.408248290463863,1.0801234497346432,0,0,0,0.408248290463863,0.816496580927726,0.816496580927726,0]",12.3333333333333,0,30,42,160,115,99.3333333333333,1.33333333333333,NaN,NaN
WT,Male,37.4286,Right,DN,ON transient medium RF,DJID_2927,266.666666666667,3.11111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[7.666666666666667,7.666666666666667,16.333333333333332,20.333333333333332,26.333333333333332,31.666666666666668,28.666666666666668,17,18,16,15.666666666666666,15]","[1.7795130420052183,2.48327740429189,1.4719601443879746,2.48327740429189,1.6329931618554521,0.81649658092772592,1.7795130420052188,2.1213203435596424,1.2247448713915889,1.8708286933869707,1.7795130420052183,1.8708286933869707]","[1.3333333333333333,5.666666666666667,8.3333333333333339,23.666666666666668,27,32.666666666666664,26.333333333333332,18.666666666666668,11.666666666666666,10,13.333333333333334,10.666666666666666]","[0.816496580927726,2.2730302828309754,1.4719601443879744,2.9439202887759492,1.8708286933869707,1.4719601443879744,3.8944404818493075,2.6770630673681683,1.7795130420052188,1.4142135623730949,1.4719601443879746,1.6329931618554521]",7.66666666666667,1.33333333333333,30,30,160,160,31.6666666666667,32.6666666666667,NaN,NaN
WT,Female,68.1429,Right,VT,ON transient medium RF,DJID_1724,533.333333333333,0.166667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1,1.3333333333333333,11.333333333333334,20.333333333333332,33.333333333333336,46,59,53,46,38.333333333333336,29.333333333333332,26.666666666666668]","[1.2247448713915889,0.816496580927726,3.2659863237109037,2.857738033247041,1.0801234497346432,1.2247448713915889,0.70710678118654746,1.8708286933869707,0.70710678118654746,1.0801234497346432,1.7795130420052188,1.4719601443879746]","[0,0,0,0,0,0,0,0.33333333333333331,0,0,2.3333333333333335,1.3333333333333333]","[0,0,0,0,0,0,0,0.408248290463863,0,0,2.857738033247041,1.0801234497346435]",1,0,30,30,224,858,59,2.33333333333333,NaN,NaN
WT,Female,68.1429,Right,VN,ON transient medium RF,DJID_1724,433.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.33333333333333331,4.666666666666667,13.666666666666666,21.333333333333332,31.333333333333332,34.333333333333336,32.333333333333336,29,22,21,16.666666666666668]","[0,0.408248290463863,0.816496580927726,1.4719601443879746,1.0801234497346432,2.9439202887759492,0.408248290463863,1.4719601443879744,0.70710678118654746,1.8708286933869707,2.5495097567963922,0.81649658092772592]","[0,0,0,0,0,0,0,0,0,0,0.33333333333333331,1]","[0,0,0,0,0,0,0,0,0,0,0.408248290463863,0.70710678118654746]",0,0,30,30,224,1200,34.3333333333333,1,NaN,NaN
WT,Female,29.1429,Left,VT,ON transient medium RF,DJID_2801,600,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,1.3333333333333333,13,21.333333333333332,32,41.666666666666664,47.333333333333336,40.333333333333336,30.333333333333332,25,23.666666666666668,19.333333333333332]","[0.816496580927726,1.6329931618554521,2.1213203435596424,1.4719601443879746,3.2403703492039297,1.7795130420052183,2.9439202887759492,1.0801234497346432,0.408248290463863,1.4142135623730949,0.81649658092772592,0.81649658092772592]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0.666666666666667,0,30,30,224,30,47.3333333333333,0,NaN,NaN
WT,Female,41.2857,Right,VT,ON transient medium RF,DJID_2184,200,1.44444,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[4,1,1.3333333333333333,9,3.3333333333333335,19,33.333333333333336,33,27.666666666666668,15.333333333333334,21.666666666666668,13.666666666666666]","[1.4142135623730949,0.70710678118654746,1.0801234497346435,4.3011626335213125,1.6329931618554521,20.211382931407734,12.832251036613439,10.198039027185569,6.0964470527239607,7.8845841150099139,11.86029791643813,6.5701344481423414]","[3.3333333333333335,3.3333333333333335,3.3333333333333335,1.6666666666666667,0.66666666666666663,1.3333333333333333,0,0.33333333333333331,1.6666666666666667,4,2.3333333333333335,4.666666666666667]","[2.2730302828309759,2.2730302828309759,3.4880749227427246,1.4719601443879744,0.408248290463863,0.816496580927726,0,0.408248290463863,1.0801234497346435,0.70710678118654746,0.81649658092772592,1.6329931618554518]",1,0,42,224,224,1200,33.3333333333333,4.66666666666667,44,NaN
WT,Female,30.5714,Left,VT,ON transient medium RF,DJID_2804,366.666666666667,0.166667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1,3,5,28,47,64.666666666666671,68.666666666666671,67.333333333333329,58,51.333333333333336,46.666666666666664,46.666666666666664]","[0.70710678118654746,0,3.0822070014844885,15.508062419270821,5.65685424949238,2.2730302828309754,3.62859017617954,2.1602468994692865,1.2247448713915889,0.408248290463863,0.408248290463863,2.2730302828309759]","[0,0.33333333333333331,0.33333333333333331,0,0,0,0,0,0,0,0,0.66666666666666663]","[0,0.408248290463863,0.408248290463863,0,0,0,0,0,0,0,0,0.408248290463863]",1,0,30,30,224,1200,68.6666666666667,0.666666666666667,NaN,NaN
WT,Female,76.1429,Left,DN,ON transient medium RF,DJID_1901,500,8.70833,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[10.5,19.5,20.75,30.666666666666668,43,50.666666666666664,46.333333333333336,54.666666666666664,51,39.5,36.666666666666664,48.333333333333336]","[7.7781745930520225,4.1231056256176615,3.7822685726367391,5.3072277760302189,4.8989794855663558,10.255080041943438,10.708252269472673,18.170488894541791,4.4472213547087787,5.08811250749125,8.7273516410573624,2.1602468994692865]","[0.5,4,0.75,0.33333333333333331,0.33333333333333331,0,0,0.33333333333333331,0,0,0.33333333333333331,0]","[0.70710678118654757,1.8856180831641269,0.86602540378443871,0.408248290463863,0.408248290463863,0,0,0.408248290463863,0,0,0.408248290463863,0]",10.5,0,30,160,314,42,54.6666666666667,4,NaN,NaN
WT,Female,24.7143,Left,DN,ON transient medium RF,DJID_3068,200,4.44444,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[7.5,11.5,16.5,20.5,31.333333333333332,38.666666666666664,43,36.5,33,30.5,27,25.666666666666668]","[0.70710678118654757,3.5355339059327378,4.9497474683058327,4.9497474683058327,4.0824829046386295,2.2730302828309759,2.8284271247461903,4.9497474683058327,4.2426406871192848,4.9497474683058327,1.4142135623730951,2.48327740429189]","[2.5,1.5,7,3,8,9.3333333333333339,6,7,4,4.5,10.5,9]","[3.5355339059327378,0.70710678118654757,9.8994949366116654,1.4142135623730951,4.2426406871192848,2.9439202887759488,1.4142135623730951,0,2.8284271247461903,3.5355339059327378,6.3639610306789276,6.1237243569579451]",7.5,1.5,30,42,224,858,43,10.5,NaN,NaN
WT,Male,22.7143,Left,VT,ON transient medium RF,DJID_3149,566.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,10,16.333333333333332,27.666666666666668,35.333333333333336,45,39.333333333333336,32.666666666666664,26.333333333333332,23,22.333333333333332]","[0,0,3.9370039370059051,0.81649658092772592,0.408248290463863,2.857738033247041,1.2247448713915889,1.0801234497346432,1.7795130420052183,1.4719601443879746,1.8708286933869707,1.0801234497346435]","[0,0,0,0,0,0,0,0.33333333333333331,0.33333333333333331,0.33333333333333331,0,0]","[0,0,0,0,0,0,0,0.408248290463863,0.408248290463863,0.408248290463863,0,0]",0,0,30,30,224,314,45,0.333333333333333,NaN,NaN
WT,Female,81.2857,Right,DT,ON transient medium RF,DJID_2101,475,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,9.3333333333333339,40,42.5,45.75,44,37,35.5,41,25.25,26.75]","[0,0,2.6770630673681683,5.0552502960343677,10.159833769418782,16.46123392161785,16.566364853052239,14.251705550954634,13.2874209519965,1.8708286933869707,9.90370301116372,10.364201207361166]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,160,30,45.75,0,NaN,NaN
WT,Male,20.1429,Left,DT,ON transient medium RF,DJID_3057,633.333333333333,1.22222,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[15,31.333333333333332,30.666666666666668,45.333333333333336,64.333333333333329,74.333333333333329,94,91.666666666666671,80.666666666666671,78.666666666666671,72,72]","[1.4142135623730949,0.408248290463863,1.4719601443879746,2.2730302828309754,2.1602468994692865,2.857738033247041,3.0822070014844885,2.4832774042918895,1.4719601443879744,1.4719601443879746,1.4142135623730949,1.8708286933869707]","[0,1,0.66666666666666663,0,0.66666666666666663,0.33333333333333331,0.33333333333333331,0.33333333333333331,1.3333333333333333,1,1.3333333333333333,1]","[0,0.70710678118654746,0.816496580927726,0,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,0.40824829046386296,0,0.40824829046386296,0]",15,0,30,30,224,439,94,1.33333333333333,NaN,NaN
WT,Male,23.4286,Left,DN,ON transient medium RF,DJID_3275,250,0.0277778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[23.833333333333332,31.166666666666668,36.333333333333336,43,41.833333333333336,41.5,35.333333333333336,30.333333333333332,30.833333333333332,29.5,30.333333333333332,27]","[0.77028133388608944,1.9270011243726175,1.2858201014657273,3.3346664001066131,0.95568474578876339,3.461213659975356,1.0832051206181281,0.54160256030906406,1.3686976778431872,0.787400787401181,1.432945684013645,0.565685424949238]","[0.83333333333333337,1.3333333333333333,1.8333333333333333,1.8333333333333333,1.5,1.5,0.83333333333333337,0.83333333333333337,0.66666666666666663,0.16666666666666666,0.16666666666666666,0.83333333333333337]","[0.43969686527576396,0.46188021535170065,0.33665016461206926,0.59441848333756686,0.37416573867739411,0.61644140029689753,0.33665016461206926,0.33665016461206926,0.36514837167011072,0.18257418583505536,0.18257418583505536,0.33665016461206926]",23.8333333333333,0.166666666666667,30,614,82,59,43,1.83333333333333,NaN,NaN
WT,Male,23.4286,Left,DN,ON transient medium RF,DJID_3275,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[8.6666666666666661,18.666666666666668,24.333333333333332,33,35.333333333333336,45,40.666666666666664,32.666666666666664,28.666666666666668,36,34,30]","[1.6329931618554521,2.1602468994692869,1.7795130420052188,0.70710678118654746,2.6770630673681683,4.6368092477478511,0.816496580927726,2.9439202887759492,1.4719601443879746,11.113055385446435,4.3011626335213125,0.70710678118654746]","[0,0,0.33333333333333331,0.66666666666666663,1,1,0.66666666666666663,0,0,0.33333333333333331,0,0]","[0,0,0.408248290463863,0.408248290463863,0.70710678118654746,0.70710678118654746,0.408248290463863,0,0,0.408248290463863,0,0]",8.66666666666667,0,30,30,160,115,45,1,NaN,NaN
