genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,ON transient EW6t,DJID_2009,100,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,2.6666666666666665,8,8.6666666666666661,5.333333333333333,0,0,0]","[0,0,0,0,0,2.1602468994692865,1.8708286933869707,1.4719601443879746,0.408248290463863,0,0,0]","[0,0,0.33333333333333331,0,0,0,0,0,0,0,0,0]","[0,0,0.408248290463863,0,0,0,0,0,0,0,0,0]",0,0,30,30,314,59,8.66666666666667,0.333333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,ON transient EW6t,DJID_2009,133.333333333333,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0.33333333333333331,5.333333333333333,9.6666666666666661,10,0.66666666666666663,0,0,0,0]","[0,0,0,0.408248290463863,5.3541261347363367,2.9439202887759488,2.1213203435596424,0.816496580927726,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,224,30,10,0,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,VN,ON transient EW6t,DJID_2004,233.333333333333,0.166667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,7,16.333333333333332,29.333333333333332,38.333333333333336,36.333333333333336,47.333333333333336,41.666666666666664,28,11,5.666666666666667]","[0,0,5.6124860801609122,4.966554808583779,4.5460605656619508,4.6007245806140871,5.6715665090578522,6.5319726474218083,5.01663898109747,2.4494897427831779,2.4494897427831779,1.4719601443879744]","[0,0,0.33333333333333331,0,0.33333333333333331,0.66666666666666663,0.66666666666666663,0.66666666666666663,2,1,1,0]","[0,0,0.408248290463863,0,0.408248290463863,0.816496580927726,0.408248290463863,0.816496580927726,1.4142135623730949,0,0.70710678118654746,0]",0,0,30,30,314,439,47.3333333333333,2,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VN,ON transient EW6t,DJID_1744,100,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,3.6666666666666665,14,17.333333333333332,9.6666666666666661,0.33333333333333331,0,0.33333333333333331,0,0]","[0,0,0,2.857738033247041,0.70710678118654746,3.8944404818493066,1.4719601443879746,0.408248290463863,0,0.408248290463863,0,0]","[0.33333333333333331,1,2.3333333333333335,4.666666666666667,4.333333333333333,0,2,0.66666666666666663,0,0,0,0]","[0.408248290463863,0.70710678118654746,1.4719601443879746,3.1885210782848317,2.0412414523193148,0,1.8708286933869707,0.408248290463863,0,0,0,0]",0,0,30,160,160,82,17.3333333333333,4.66666666666667,NaN,NaN
WT,Female,24.7143,Left,DN,ON transient EW6t,DJID_3068,100,1.11111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,2.6666666666666665,5,10.333333333333334,20.666666666666668,13.666666666666666,7,2.3333333333333335,0.33333333333333331,0.33333333333333331,0.33333333333333331,0]","[0.816496580927726,3.2659863237109041,4.3011626335213125,5.1153364177409353,2.48327740429189,1.6329931618554521,3.0822070014844885,1.0801234497346432,0.408248290463863,0.408248290463863,0.408248290463863,0]","[0,1,0.33333333333333331,0,0,0,0.33333333333333331,2.3333333333333335,0,0,1.3333333333333333,0]","[0,1.2247448713915889,0.408248290463863,0,0,0,0.408248290463863,1.0801234497346432,0,0,1.0801234497346432,0]",0,0,1200,30,115,314,20.6666666666667,2.33333333333333,1200,NaN
WT,Female,24.7143,Left,DN,ON transient EW6t,DJID_3068,100,0.533333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1,7,14.5,19.4,18.4,7,2.2,0.2,4.8,0]","[0,0,0.70710678118654757,6.2349819566699631,6.9681816534556242,5.7293106042524871,5.4497706373754848,4.39696865275764,1.1401754250991381,0.22360679774997902,5.3665631459994954,0]","[0,0,0.8,5,2,1.8,3,1.5,2.2,0.2,4.8,0]","[0,0,0.89442719099991608,5.5901699437494745,1.9436506316151003,1.7464249196572981,1.5,1.1055415967851334,1.2449899597988732,0.223606797749979,5.0916598472403871,0]",0,0,30,30,160,82,19.4,5,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,34.7143,Left,VT,ON transient EW6t,DJID_2259,133.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,2.3333333333333335,5,8.6666666666666661,7.666666666666667,3.6666666666666665,5,3.3333333333333335,1]","[0,0,0,0,0.408248290463863,1.2247448713915889,1.0801234497346435,0.816496580927726,2.1602468994692869,0.70710678118654746,1.0801234497346432,0.70710678118654746]","[0,0,0,0,0,0.33333333333333331,0,0,0,0,0,0]","[0,0,0,0,0,0.408248290463863,0,0,0,0,0,0]",0,0,30,30,224,160,8.66666666666667,0.333333333333333,NaN,NaN
WT,Female,81.2857,Right,DT,ON transient EW6t,DJID_2101,100,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,3.3333333333333335,8,6.666666666666667,0,0,0,0.66666666666666663,1]","[0,0,0,0,2.4832774042918895,2.4494897427831779,0.408248290463863,0,0,0,0.816496580927726,1.2247448713915889]","[0,0,0,0.66666666666666663,0,0,0,0,0,0,0,0]","[0,0,0,0.816496580927726,0,0,0,0,0,0,0,0]",0,0,30,30,160,82,8,0.666666666666667,NaN,NaN
WT,Female,81.2857,Right,DN,ON transient EW6t,DJID_2101,166.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,1.6666666666666667,6.666666666666667,12.666666666666666,20.333333333333332,19,9,6.333333333333333,4.666666666666667,3.3333333333333335,3.6666666666666665,3.6666666666666665]","[0,0.40824829046386296,0.408248290463863,1.6329931618554521,0.81649658092772592,1.8708286933869707,0.70710678118654746,1.0801234497346432,0.816496580927726,0.408248290463863,0.81649658092772592,1.4719601443879746]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,115,30,20.3333333333333,0,NaN,NaN
