genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Female,17.8571,Right,DN,HD2,DJID_1970,300,24.8889,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[33.666666666666664,39,48,52,55,54,54,55.333333333333336,56.666666666666664,56.333333333333336,56,56.333333333333336]","[1.0801234497346432,1.2247448713915889,5.6124860801609122,3.2403703492039297,4.9497474683058327,4.2426406871192848,1.2247448713915889,4.5460605656619517,4.8131763593978834,1.4719601443879744,3.2403703492039297,1.7795130420052183]","[24.333333333333332,21.333333333333332,27,27,25.666666666666668,36.333333333333336,37.666666666666664,36,36,43,41.666666666666664,37]","[2.1602468994692869,3.8944404818493075,3.6742346141747668,1.8708286933869707,2.1602468994692869,5.4924190177613594,0.408248290463863,3.2403703492039297,1.8708286933869707,2.4494897427831779,0.816496580927726,4.415880433163923]",33.6666666666667,21.3333333333333,30,42,439,614,56.6666666666667,43,NaN,NaN
Trarg1(Tusc5-eGFP/?),Female,31.4286,Right,VN,HD2,DJID_1584,100,0.222222,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0.5,0.66666666666666663,1.3333333333333333,0.66666666666666663,4,13.666666666666666,15,12.666666666666666,9.6666666666666661]","[0,0,0,0.70710678118654757,0.816496580927726,0.40824829046386296,0.816496580927726,1.4142135623730951,0.40824829046386296,4.2426406871192848,4.0207793606049389,2.9439202887759488]","[0,0,0.33333333333333331,2.5,7,5.666666666666667,14.333333333333334,3,1.3333333333333333,2,0.33333333333333331,0.33333333333333331]","[0,0,0.408248290463863,0.70710678118654757,1.4142135623730949,4.0207793606049389,4.3204937989385739,1.4142135623730951,1.0801234497346435,2.4494897427831779,0.408248290463863,0.408248290463863]",0,0,30,30,614,224,15,14.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,HD2,DJID_1589,366.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[12.333333333333334,16,22.666666666666668,14.666666666666666,12.333333333333334,14,23.333333333333332,26,19.333333333333332,15.666666666666666,15.333333333333334,13]","[2.9439202887759488,0.70710678118654746,1.4719601443879746,1.4719601443879746,2.857738033247041,2.5495097567963922,4.8131763593978834,1.2247448713915889,1.4719601443879746,2.1602468994692865,2.6770630673681683,1.8708286933869707]","[3,16.666666666666668,29.666666666666668,19,12,12.666666666666666,6.333333333333333,2.6666666666666665,0.66666666666666663,0,0,0.33333333333333331]","[0.70710678118654746,2.48327740429189,2.1602468994692869,0.70710678118654746,2.4494897427831779,1.0801234497346435,1.0801234497346432,1.0801234497346432,0.816496580927726,0,0,0.408248290463863]",12.3333333333333,0,30,614,314,59,26,29.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,20.5714,Right,DT,HD2,DJID_1640,266.666666666667,0.444444,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,1.6666666666666667,6.666666666666667,19.333333333333332,22.333333333333332,30.666666666666668,25.333333333333332,8.6666666666666661,4,5,3.3333333333333335,6.333333333333333]","[0.816496580927726,0.40824829046386296,0.816496580927726,1.0801234497346432,3.5590260840104375,4.0824829046386295,3.1885210782848317,1.4719601443879746,1.2247448713915889,1.2247448713915889,0.408248290463863,0.816496580927726]","[2,1.6666666666666667,16,40.666666666666664,39.666666666666664,32.666666666666664,5.333333333333333,1,0.66666666666666663,1.3333333333333333,2,2]","[0.70710678118654746,1.4719601443879744,1.4142135623730949,5.3541261347363367,21.521307271322218,5.4924190177613594,1.4719601443879744,0,0.816496580927726,0.40824829046386296,0.70710678118654746,0.70710678118654746]",0.666666666666667,0.666666666666667,30,439,160,82,30.6666666666667,40.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,HD2,DJID_2009,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,2.25,7.25,10.333333333333334,8.25,5.25,5,4.25,1.6666666666666667,3]","[0,0,0,1.6583123951777,2.8037673068767872,0.40824829046386296,0.28867513459481292,2.0749832663314556,1.2247448713915889,1.7240134054647667,1.4719601443879744,1.2472191289246473]","[0,0,0,2,5.75,12,10.5,8,9,5.75,6.333333333333333,5.5]","[0,0,0,1.4142135623730949,1.5898986690282428,1.8708286933869707,2.1343747458109497,3.431876713662334,1.4142135623730949,2.6822461565718467,1.0801234497346432,2.1343747458109497]",0,0,30,30,160,160,10.3333333333333,12,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Female,20.8571,Left,VN,HD2,DJID_2009,166.666666666667,0.166667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0.66666666666666663,3.3333333333333335,5,2.3333333333333335,2.3333333333333335,3.3333333333333335,2.6666666666666665,1.6666666666666667]","[0,0,0,0,0.816496580927726,2.0412414523193152,0.70710678118654746,0.408248290463863,1.0801234497346432,1.4719601443879746,0.81649658092772592,0.40824829046386296]","[0.33333333333333331,0,0,0.33333333333333331,5.333333333333333,6,5.333333333333333,4.333333333333333,3.3333333333333335,4.666666666666667,6,6]","[0.408248290463863,0,0,0.408248290463863,4.8131763593978834,0.70710678118654746,1.4719601443879744,0.408248290463863,2.1602468994692865,1.0801234497346432,1.4142135623730949,1.2247448713915889]",0,0,30,42,224,160,5,6,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,21.8571,Left,VN,HD2,DJID_2004,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,10.333333333333334,23.333333333333332,20.666666666666668,13.666666666666666,5.333333333333333,5,0.33333333333333331,0.33333333333333331,2.3333333333333335]","[0,0,0,1.0801234497346435,2.857738033247041,1.0801234497346432,1.4719601443879744,1.0801234497346432,0.70710678118654746,0.408248290463863,0.408248290463863,1.0801234497346432]","[0,0,0,3.3333333333333335,9.3333333333333339,8.3333333333333339,10.666666666666666,8,11.333333333333334,10.333333333333334,17.666666666666668,15.333333333333334]","[0,0,0,4.0824829046386295,0.816496580927726,1.0801234497346435,2.6770630673681683,5.0990195135927845,0.816496580927726,6.5701344481423414,1.4719601443879746,0.40824829046386296]",0,0,30,30,115,858,23.3333333333333,17.6666666666667,NaN,NaN
WT,Female,8.2857,Left,VN,HD2,DJID_1385,266.666666666667,0,"[50,111,245,542,1200]","[1.6666666666666667,7.666666666666667,12.333333333333334,3,2.6666666666666665]","[0.40824829046386296,1.0801234497346432,2.6770630673681683,0.70710678118654746,1.0801234497346432]","[11,22,7.666666666666667,0,0]","[5.3385391260156556,0.70710678118654746,1.0801234497346432,0,0]",1.66666666666667,0,50,542,245,111,12.3333333333333,22,NaN,NaN
WT,Male,40.5714,Right,DN,HD2,DJID_66,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.6666666666666667,1.6666666666666667,4,4,3.3333333333333335,5.666666666666667,15,12.666666666666666,6.333333333333333,4,5,5.333333333333333]","[1.0801234497346432,0.40824829046386296,2.1213203435596424,0.70710678118654746,0.408248290463863,0.816496580927726,0.70710678118654746,1.4719601443879744,0.408248290463863,0.70710678118654746,0.70710678118654746,0.816496580927726]","[1.6666666666666667,4.333333333333333,21.666666666666668,31.333333333333332,30.666666666666668,34.666666666666664,20,5.333333333333333,3.6666666666666665,2,9,12.666666666666666]","[1.4719601443879744,1.4719601443879744,1.4719601443879746,0.408248290463863,2.48327740429189,2.6770630673681683,2.5495097567963922,1.4719601443879744,1.4719601443879746,1.8708286933869707,0.70710678118654746,1.6329931618554521]",1.66666666666667,1.66666666666667,30,30,224,160,15,34.6666666666667,NaN,NaN
WT,Male,29,Left,VN,HD2,DJID_1000,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.33333333333333331,0,0.66666666666666663,1.6666666666666667,2.6666666666666665,5,7.666666666666667,1.6666666666666667,2,1.3333333333333333,0.66666666666666663]","[0,0.408248290463863,0,0.816496580927726,0.40824829046386296,1.4719601443879746,2.5495097567963922,0.408248290463863,1.0801234497346435,1.2247448713915889,0.40824829046386296,0.816496580927726]","[0.33333333333333331,10.666666666666666,20.666666666666668,28.666666666666668,37,36.333333333333336,18,5,3.6666666666666665,0.33333333333333331,1,2.6666666666666665]","[0.408248290463863,5.2121652570372969,1.7795130420052188,1.0801234497346435,2.5495097567963922,2.0412414523193148,1.2247448713915889,1.2247448713915889,1.0801234497346432,0.408248290463863,0,0.408248290463863]",0,0.333333333333333,30,30,314,115,7.66666666666667,37,NaN,NaN
